review_id,author_name,rating,review_title,review_text,app_version,review_date
13603539869,KCS2026,1,"Discontinued Brief, yet continued to mislead consumers about it being back ordered for years.","Discontinued Brief, yet continued to mislead consumers about it being back-ordered for years. For years waited, continuing to pay the annual fee. The sales folks that I spoke with were pleasant, but were not knowledgeable. Do better! They also did not reimburse me for the fee when they can see the device had not been used, because I was waiting for it to be restocked. Never happened. Going forward, if it’s not in stock I don’t  trust them.",5.34.0,2026-01-06T17:09:29-07:00
13600438474,pistolese,4,Whoop is amazing,"I love my whoop band. Have had it for a year now. It is the best device for tracking sleep, stress, heart rate, and recovery. The battery lasts over a week! My only complaint is that it’s subscription based.",5.33.0,2026-01-05T22:16:51-07:00
13593221655,Chicago Doug,1,Frustrating app with bad data,"Whoop grossly undercounts steps causing the app to give an elevated age to the user. The app’s algorithms are set so that it will only count steps if your arms are in swinging motion and even then it undercounts. As an example if I show 12,000 steps in Apple Health the Whoop app may show around 6500 steps. The AI function is extremely frustrating. Not able to continue previous conversations. Very difficult to navigate through the app to find where to check or change settings. The sleep tracking is invariably incorrect and when trying to add naps or added sleep it will then delete previously detected sleep. All of these issues cause the Age determination to be considerably off.",5.33.0,2026-01-04T03:25:40-07:00
13585882883,SteveChiagozie,2,"Great app, confusing UI, currently broken","I enjoy using the WHOOP app, although some of the features  feel buried in odd places in the UI. but currently you can’t chat with WHOOP Coach without the app freezing!",5.33.0,2026-01-02T08:33:44-07:00
13583952252,tomatoplantd,1,not good product. bad subscription policies. dont recommend getting this. app pretty useless,"bad design, bad product",5.33.0,2026-01-01T22:01:01-07:00
13582006539,Whoop rev1w,3,Get something else,"Way too inconsistent, decides when and when not it wants to track your data. I’d say get like any other health and fitness watch/app.",5.33.0,2026-01-01T10:39:52-07:00
13578480629,JordanHenricks,2,Unreliable charging,"Battery may show 6,255% charged one minute then 1% the next minute. Obviously glitchy. When charger is applied to charge it, it doesn’t even show as charging so you never know if it’s charging or not.",5.33.0,2025-12-31T13:33:31-07:00
13575318937,Dimes 2714,2,Inaccurate date,"I like to track my calories as part of overall health plan and whoop is WAY off in terms of calories tracking.  Also, it doesn’t show by hour only by day.  More accurate options available",5.33.0,2025-12-30T19:13:38-07:00
13574933912,anonymous736362,1,Terrible software,"Honestly the software is just plain terrible. You can't view anything from your home page while a workout is running (such as your recovery score). It doesn't tell you the cumulative minutes in each zone until you end the workout. And you need an internet connection to change or even just turn off your alarm . Better not plan on using your expensive screen less device for an alarm on a cruise or in the wilderness, it's a brick without an internet connection!",5.33.0,2025-12-30T16:50:23-07:00
13573640349,fluff daddy,4,Why does whoop think I’m pregnant?,"I have the WHOOP life band. The features are perfect for me. It really has been interesting to see how much my workouts improve on Green days.  It is also helped me to dial in a more consistent sleep pattern.

There are two things that really don’t make sense about WHOOP. First thing is, WHOOP thinks I’m pregnant.  I’m a man. I know we live in a modern age, but I’m not pregnant.  I even checked my profile and I am marked as a male.

Second thing is the constant disconnection from Bluetooth.  I am having to reconnect my device once or twice a week.  A small but annoying inconvenience.",5.33.0,2025-12-30T09:29:15-07:00
13570106569,Tejas Khot,3,Strength trainer unusable and buggy,Scrolling in the strength trainer doesn’t work and is extremely frustrating to use. Very annoying experience trying to get muscular load captured. Please fix soon!,5.33.0,2025-12-29T11:47:41-07:00
13569478419,Jole.Gott,1,Privacy Violation,"After returning the product because of discomfort with it, the app withheld my card information and won’t let me take it off or cancel membership unless i go through an extensive process over a service call that is extremely unprofessional outsourced to a loud call center. It is not easy to take yourself out of this contract!!! They make it as hard as possible with no proper customer service.",5.33.0,2025-12-29T08:36:08-07:00
13561825469,Amanda Jean Bouwski,1,Trying to cancel,To even get on the app you have to put your card information in for it to renew in a year for $200 and there is no where to cancel your membership once you get on the app.,5.33.0,2025-12-27T10:23:27-07:00
13561585251,Whoop ST Scroll,4,Strength Trainer,"Great feature, scroll when adding exercises does not work iOS please fix asap. Also glitchy ui when customizing reps and weights, done button hardly works",5.33.0,2025-12-27T09:09:48-07:00
13551987025,Beesnest55,1,Monetization over engagement,"The app prioritizes trying to make me share “free trials” and then the shop and monetization. Kind of a bummer for something this expensive and personalized… just bad product leadership. 

I can’t seem to customize the home screen to see heart rate (seems like something core, over selling me stuff)… despite the ai engine continuing to tell me there are pencils or customization buttons that actually aren’t there in my version. Again, just seems like bad product management. Our family are not loving it thru day 1.",5.33.0,2025-12-24T20:02:22-07:00
13544073553,JamminWithJasmine,4,Good but needs word,"This thing rocks! The “Strength Trainer” function in the app needs to be further developed though. It’s clunky and you can’t see performance on past lifts while in a workout, which seems like an obvious feature to include.",5.33.0,2025-12-22T15:22:19-07:00
13537619021,Maxafa,2,Coach is glitching,"After any text is typed in the AI coach, the app freezes and no buttons work.",5.33.0,2025-12-20T22:41:37-07:00
13535504172,tim ocean,2,Stay on 4.0,"Recently upgraded from 4.0 to MG. MG feels cheaply made, the bands don’t seem to fit securely and already can’t get a two week old silicone band to clasp securely. Another company ruining their product chasing margins",5.33.0,2025-12-20T08:55:14-07:00
13534028573,GillsLuck,1,So close no matter how far,"Whoop has many cool features and awesome things to try like the ecg, blood pressure measure etc. it’s just too bad they don’t work. They might as well put “finds nearby unicorns”. Sick if it worked right? 100%. But it wouldn’t and it doesn’t. That’s whoop. I still get angry when I think about that I prepaid 12 months for this piece of garbage. Do yourself a favor and save yourself hours and hours of frustration by not buying this. I’d recommend making a nice beach fireplace and preferably just throw your money in there if you have too much of it. There’s no need to purchase bonus headaches, there’s plenty of free ones out there. If anyone employed at whoop reads this, which i doubt since they don’t read your own inbox (I’ve emailed twice with no response MONTHS AGO) then please just know that everyone makes mistakes and as there seemingly was a way back for Grima Wormtongue there’s a way back for you as well. I look more forward to my subscription ending than all the birthdays and xmases ever combined (included pre my birth). 

TLDR: it sucks. RUN THE OPPOSITE DIRDCTION",5.33.0,2025-12-20T00:33:48-07:00
13531978432,Ahmed aljafaari,5,Language,"We wish you continued success.
We respectfully request that you consider adding the Arabic language, as a large number of users of this application are Arabic speakers. Including Arabic would greatly facilitate proper understanding of the program and enhance user engagement. We kindly ask you to give this matter your serious consideration",5.33.0,2025-12-19T10:30:57-07:00
13529304699,jtm202006,1,Customer service is horrible,"Easy to get subscription but to cancel , you have no option. No customer service number to reach out to, the login doesn’t work on top of what I paid for one year, they are asking $199 to cancel the subscription.",5.33.0,2025-12-18T16:56:28-07:00
13528512391,Eeloj,3,Nice but,The app loves to crash. I can’t try and input data anymore since if I try to spend more then a minute on the app it just crashes. The app acts like it’s in 2019 and it hurts a bit to use.,5.33.0,2025-12-18T11:33:34-07:00
13526138170,RRQ,1,Sleep/Alarm,WTF did you do with the alarm? The best thing this app does is sleep and I can’t figure out where you idiots moved the alarm function.,5.33.0,2025-12-17T20:14:57-07:00
